               assists_per_minute  height  time_played  age  points_per_minute    
               0.0888               201        36.02     28             0.5885    
              0.1399                198        39.32     30             0.8291    
               0.0747               198        38.80     26             0.4974    
               0.0983               191        40.71     30             0.5772    
               0.1276               196        38.40     28             0.5703    
               0.1671               201        34.10     31             0.5835    
               0.1906               193        36.20     30             0.5276    
               0.1061               191        36.75     27             0.5523    
               0.2446               185        38.43     29             0.4007    
               0.1670               203        33.54     24             0.4770    
              0.2485                188        35.01     27             0.4313    
              0.1227                198        36.67     29             0.4909    
              0.1240                185        33.88     24             0.5668    
             0.1461                 191        35.59     30             0.5113    
             0.2315                 191        38.01     28             0.3788    
              0.0494                193        32.38     32             0.5590    
              0.1107                196        35.22     25             0.4799    
              0.2521                183        31.73     29             0.5735    
             0.1007                 193        28.81     34             0.6318    
              0.1067                196        35.60     23             0.4326    
             0.1956                 188        35.28     32             0.4280   
